number,value,datetime_start,datetime_complete,duration,params_CLIP_GRAD,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_MOMENTUM_SGD,params_NUM_EPOCHS,params_NUM_LAYERS,params_OPTIMIZER,params_WEIGHT_DECAY,params_WEIGHT_INIT_TYPE,user_attrs_mae,user_attrs_mape,user_attrs_rmse,user_attrs_std_dev,state
34,62.35027313232422,2025-01-16 20:31:38.274454,2025-01-16 20:38:21.582087,0 days 00:06:43.307633,1.0,0.4,10,5e-05,0.1,12,8,sgd,1e-05,he,57.575718,99.189064,62.35027313232422,24.100973,COMPLETE
35,50.86684799194336,2025-01-16 20:38:21.582707,2025-01-16 20:43:26.382098,0 days 00:05:04.799391,5.0,0.15000000000000002,30,0.003,0.6000000000000001,10,7,adam,0.001,normal,46.05836,74.79203,50.86684799194336,21.60423,COMPLETE
36,64.45970916748047,2025-01-16 20:43:26.382645,2025-01-16 20:45:43.286426,0 days 00:02:16.903781,0.5,0.30000000000000004,60,0.008,0.0,9,3,sgd,0.01,default,60.690777,105.50005,64.45970916748047,21.71826,COMPLETE
37,27.117137908935547,2025-01-16 20:45:43.286952,2025-01-16 20:50:14.322037,0 days 00:04:31.035085,5.0,0.35000000000000003,40,0.0003,0.4,6,10,adamw,0.001,default,23.981127,39.060783,27.117137908935547,13.602798,COMPLETE
38,49.1933479309082,2025-01-16 20:50:14.322585,2025-01-16 20:55:29.790263,0 days 00:05:15.467678,0.5,0.6,100,0.0003,0.1,13,5,sgd,0.0,he,43.67429,74.92743,49.1933479309082,24.489983,COMPLETE
39,18.516429901123047,2025-01-16 20:55:29.790860,2025-01-16 21:01:50.758086,0 days 00:06:20.967226,,0.05,60,0.0001,0.30000000000000004,9,10,adamw,1e-05,normal,15.175287,31.62603,18.516429901123047,14.091052,COMPLETE
40,57.4514045715332,2025-01-16 21:01:50.758627,2025-01-16 21:04:20.736066,0 days 00:02:29.977439,0.01,0.1,10,0.0008,0.4,14,2,adam,0.001,normal,53.234577,89.69608,57.4514045715332,21.60423,COMPLETE
41,56.11841583251953,2025-01-16 21:04:20.736618,2025-01-16 21:13:27.338776,0 days 00:09:06.602158,0.01,0.45,80,0.05,0.30000000000000004,11,10,adam,1e-05,normal,51.793144,86.69046,56.11841583251953,21.604235,COMPLETE
42,32.03092956542969,2025-01-16 21:13:27.339315,2025-01-16 21:16:25.853992,0 days 00:02:58.514677,0.1,0.4,30,0.0005,0.7000000000000001,12,3,adamw,0.001,he,29.002026,46.756927,32.03092956542969,14.171606,COMPLETE
43,21.417224884033203,2025-01-16 21:16:25.854542,2025-01-16 21:19:06.948055,0 days 00:02:41.093513,1.0,0.4,40,0.02,0.2,8,4,adam,1e-05,he,18.710163,31.918324,21.417224884033203,12.213297,COMPLETE
44,37.13423538208008,2025-01-16 21:19:06.948612,2025-01-16 21:27:10.076208,0 days 00:08:03.127596,,0.1,40,0.001,0.9,17,6,sgd,0.01,default,31.352224,47.850384,37.13423538208008,21.561617,COMPLETE
45,52.42625427246094,2025-01-16 21:27:10.076830,2025-01-16 21:29:04.021046,0 days 00:01:53.944216,0.001,0.25,30,0.0005,0.1,6,4,adam,0.001,default,47.76911,78.31402,52.42625427246094,21.605207,COMPLETE
46,55.37417984008789,2025-01-16 21:29:04.021580,2025-01-16 21:30:59.122601,0 days 00:01:55.101021,0.01,0.45,30,0.0001,0.0,5,5,sgd,0.001,he,51.81625,89.9306,55.37417984008789,19.61756,COMPLETE
47,10.418533325195312,2025-01-16 21:30:59.123196,2025-01-16 21:34:46.768944,0 days 00:03:47.645748,0.01,0.25,40,0.008,0.1,5,10,adamw,0.001,default,8.670839,19.282524,10.418533325195312,9.913245,COMPLETE
48,6.61569356918335,2025-01-16 21:34:46.769632,2025-01-16 21:39:13.038052,0 days 00:04:26.268420,1.0,0.1,30,0.008,0.5,10,6,adamw,1e-06,he,5.232215,12.67945,6.61569356918335,6.158398,COMPLETE
49,11.195270538330078,2025-01-16 21:39:13.038657,2025-01-16 21:39:59.127031,0 days 00:00:46.088374,2.0,0.35000000000000003,80,0.02,0.0,5,1,adam,1e-05,he,9.470869,17.487577,11.195270538330078,9.472346,COMPLETE
50,21.65753173828125,2025-01-16 21:39:59.127605,2025-01-16 21:46:39.774563,0 days 00:06:40.646958,5.0,0.1,60,0.02,0.1,13,7,adamw,0.001,he,18.767366,39.909,21.65753173828125,20.870796,COMPLETE
51,51.164283752441406,2025-01-16 21:46:39.775168,2025-01-16 21:58:35.856098,0 days 00:11:56.080930,0.1,0.5,50,5e-05,0.4,17,10,sgd,1e-05,default,46.380608,75.50226,51.164283752441406,21.69464,COMPLETE
